station_name,latitude,longitude
Davenport Rd / McAlpine St - SMART,,
Davenport Rd / Oakwood Rd - SMART,,
Davisville Ave / Pailton Cres,43.6993444,-79.3919052
Dawes Rd / Taylor Creek Trl,,
Dentonia Park,43.6936295,-79.2933125
Donlands Station,43.6808549,-79.3377699
Dovercourt Rd / Harrison St (Green P) - SMART,,
Dufferin Gate - SMART,,
Dufferin St / Bloor St,43.6601875,-79.4353303
Dufferin St / Finch Hydro Recreational Trail,,
Dufferin St / Sylvan Av (Dufferin Grove Park),,
Dundas St E / Boulton Ave - SMART,,
Dundas St E / Broadview Ave,43.6622581,-79.3512492
Dundas St E / George St,,
Dundas St E / Parliament St,43.659227,-79.3658214
Dundas St E / Pembroke St - SMART,,
Dundas St E / Regent Park Blvd,43.6601302,-79.3616424
Dundas St E / Victoria St,,
Dundas St W / Crawford St,,
Dundas St W / Edna Ave,,
Dundas St W / Roncesvalles Green P - SMART,,
Dundas St W / St Helen Ave - SMART,,
Dundas St W / St. Patrick St,,
Dundas St W / Watkinson Ave,,
Dundas St W / Yonge St,43.6558423,-79.3839045
Dundonald St / Church St,43.6665946,-79.3814682
Dupont St / Emerson Ave SMART,,
Durie St / Dundas St W,,
E.T. Seton Park (Eglinton Ave E / Leslie St),,
East Lynn Ave / Danforth Ave,43.68505,-79.3153536
Eastern Ave / Winnifred Ave,,
Eastwood Rd / Coxwell Ave,43.6727597,-79.3191212
Eastwood Rd / Woodbine Ave - SMART,,
Edward St / Yonge St,43.656837,-79.382563
Eglinton Ave E / Redpath Ave,43.7078749,-79.3924203
Eglinton Ave W / Henning Ave SMART,43.7062969,-79.4016121
Eglinton Ave W / Scarlett Rd,43.6836259,-79.5109535
Elizabeth St / Edward St (Bus Terminal),,
Ellis Ave / The Queensway,43.6378709,-79.4659966
Elm St/ University Ave (East Side),43.6564639,-79.3878214
Elwood Blvd / Avenue Rd,43.7070439,-79.4096215
Emerson Ave / Bloor St W,,
Erskine Ave / Yonge St SMART,,
Essex St / Christie St - SMART,,
