station_name,latitude,longitude
Christie St / Benson Ave (Wychwood Barns),43.6801190362763,-79.4250428602022
Church St  / Wood St,43.6628211276403,-79.3797284380518
Church St / Alexander St,43.6638815643812,-79.3800837736963
Church St / Bloor St E,43.6713237,-79.3831361
Church St / Dundas St E - SMART,43.6566255287315,-79.3771570313676
Church St / Lombard St,43.6519823530586,-79.3751559160258
Claremont St / Dundas St W,43.6513386919789,-79.4116091602033
Clarence Square,43.6441912,-79.393683
Clendenan Ave / Rowland St - SMART,43.6604476437895,-79.4714492890385
College Park - Yonge St Entrance,43.6599268375014,-79.3825955274312
College Park South,43.6599741510493,-79.3849808295252
College Park- Gerrard Entrance,43.6589057873323,-79.3838338008719
College St / Borden St,43.6571124519816,-79.4051695313676
College St / Crawford St,43.6551685699926,-79.4190170553511
College St / Huron St,43.6584260107472,-79.3981365583543
College St / Major St,43.6576116991496,-79.4028079178742
College St / Markham St,43.6563798782945,-79.4089327025321
Colonel Danforth Park,43.7796074,-79.1766316
Concord Av / Dewson St,43.6568433709601,-79.4249363394071
Concord Ave / Bloor St W,43.6619647,-79.4268271
Cosburn Ave / Cedarvale Ave,43.697154,-79.3145238
Cosburn Ave / Donlands Ave,43.6905841,-79.3413146
Cosburn Ave / Durant Ave,43.6938983486332,-79.3299831602017
Coxwell Ave /  Lake Shore Blvd E,43.662833,-79.3152384
Coxwell Ave / Plains Rd,43.6959033,-79.3292314
Crawford St / Queen St W,43.6491517,-79.4167516
Cumberland Ave / Bay St SMART,43.670631979038,-79.3898115412673
D'Arcy St / Spadina Ave - SMART,43.6541077470146,-79.3983843467098
D'Arcy St. /McCaul St. SMART,43.6553109271941,-79.3918719432911
Dalton Rd / Bloor St W,43.6662499514982,-79.4066331736962
Danforth Ave / Aldridge Ave,43.6849029594144,-79.3171629448599
Danforth Ave / Barrington Ave,43.6883669,-79.3005153
Danforth Ave / Coxwell Ave,43.6834778,-79.3237153
Danforth Ave / Dewhurst Blvd,43.6801934,-79.3394629
Danforth Ave / Ellerbeck St,43.6769393,-79.3566149
Danforth Ave / Gough Ave,43.6788320392721,-79.3461056025312
Danforth Ave / Lamb Ave,43.6819129,-79.3293717
Danforth Ave / Westlake Ave,43.6876037517295,-79.3052146025308
Davenport Rd / Avenue Rd,43.6748211,-79.3967481
Davenport Rd / Bathurst St,43.6767734,-79.4161824
Davenport Rd / Bedford Rd,43.6745922,-79.3999473
Davenport Rd / Christie St,43.6756701,-79.423232
Davenport Rd / Lansdowne Ave,43.6713154,-79.4483532
Davenport Rd / McAlpine St - SMART,43.6740631902548,-79.3915103736958
Davenport Rd / Oakwood Rd - SMART,43.6745285294746,-79.4337405736959
Davisville Ave / Pailton Cres,43.6993444,-79.3919052
Dawes Rd / Taylor Creek Trl,43.6972635381852,-79.2973899890371
Dentonia Park,43.6936295,-79.2933125
Donlands Station,43.6808549,-79.3377699
Dovercourt Rd / Harrison St (Green P) - SMART,43.6503689933218,-79.4250447469708
Dufferin Gate - SMART,43.6337739042721,-79.425318880765
Dufferin St / Bloor St,43.6601875,-79.4353303
Dufferin St / Finch Hydro Recreational Trail,43.7722468634226,-79.467624673692
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6548753948128,-79.4333425553514
Dundas St E / Boulton Ave - SMART,43.6633067526901,-79.3481953448608
Dundas St E / Broadview Ave,43.6622581,-79.3512492
