station_name,latitude,longitude,cluster,k
Bay St / Charles St - SMART,43.6680957892602,-79.3886873996438,0,4
Bay St / College St (East Side),43.6606978316688,-79.3856703516634,0,4
Bay St / College St (West Side) - SMART,43.6609335495427,-79.3859984919365,0,4
Bay St / Queens Quay W (Ferry Terminal),43.6413960992217,-79.3768730905225,0,4
Bay St / Scollard St,43.6719976,-79.3902757,0,4
Bay St / St. Joseph St,43.6658541967127,-79.3876680736962,0,4
Bay St / Wellesley St W,43.6637002,-79.3870773,0,4
Bayview Ave / Lawren Harris Square,43.6547794728814,-79.3537015859754,2,4
Beaty Ave / Queen St W,43.6395429,-79.441058,1,4
Bellwoods Ave / Treford Pl - SMART,43.6526221512392,-79.4133976736967,0,4
Beltline Trail / Chaplin Cres.,43.7045705083875,-79.4231132106435,0,4
Berkeley St / Adelaide St E - SMART,43.6531326617562,-79.3647637313678,0,4
Berkeley St / Dundas St E - SMART,43.6592577229468,-79.367351002532,0,4
Berry Rd / Bell Manor Dr,43.6373109947738,-79.488960317875,1,4
Beverley  St / Dundas St W,43.6537292,-79.3939769,0,4
Beverley St / College St,43.6576943,-79.3955101,0,4
Blake St / Boultbee Ave,43.6718404,-79.3382205,2,4
Blantyre Park,43.6831825,-79.2805565,2,4
Bleecker St / St James Ave,43.6690484863875,-79.3744326313671,0,4
Bloor St E / Huntley St - SMART,43.6720864958783,-79.3791355602025,0,4
Bloor St W / Balmuto St,43.6701655408665,-79.3880232313671,0,4
Bloor St W / Brock Ave,43.6592259154401,-79.4386539783555,1,4
Bloor St W / Christie St,43.66078,-79.4312138,1,4
Bloor St W / Dundas St W,43.6560373,-79.4523222,1,4
Bloor St W / High Park Ave (High Park),43.6537199481172,-79.4652740602033,1,4
Bloor St W / Huron St,43.6670201,-79.4018152,0,4
Bloor St W / Manning Ave - SMART,43.6642431181888,-79.4160831736962,0,4
Bloor St W / Pacific Ave,43.6540578220405,-79.4636864025323,1,4
Bloor St W / Riverside Ave,43.647695,-79.4875628,1,4
Bloor St W / Shaw Ave - SMART,43.6626574383616,-79.4232857178739,0,4
Blythwood Rd / Yonge St - SMART,43.7167870231111,-79.4004921178717,0,4
Bond St / Queen St E,43.6530408739241,-79.3769128025322,0,4
Braemar Ave / Eglinton Ave W,43.7042096,-79.4094508,0,4
Bremner Blvd / Rees St,43.6411386619907,-79.3877795890393,0,4
Briar Hill Ave / Yonge St - SMART,43.7138443318697,-79.3998514890364,0,4
Brick Works,43.6849127,-79.3655581,0,4
Bridgeman Ave / Bathurst St,43.674501389008,-79.4148223025314,0,4
Bridgeman Ave / Kendal Ave,43.6756522857338,-79.4098641178735,0,4
Broadview Ave / Danforth Ave,43.6763507,-79.3586274,2,4
Broadview Ave / Westwood Ave,43.684886,-79.3565672,2,4
Cariboo St / Rail Path,43.6668571498497,-79.4583445025316,1,4
Carlaw Ave / Danforth Ave,43.6783505,-79.3474623,2,4
Carlaw Ave / Dundas St E,43.6650172994178,-79.3415714160252,2,4
Carlaw Ave / Strathcona Ave,43.6754291874016,-79.3460024890379,2,4
Carlton St / Parliament St,43.6643647,-79.3681095,0,4
Central Tech  (Harbord St),43.6632465695531,-79.4091627036855,0,4
Charles St E / Jarvis St - SMART,43.6700958596067,-79.3799211448605,0,4
Charles St W / Balmuto St - SMART,43.6686325236836,-79.3874044602026,0,4
Cherry Beach,43.6370143,-79.3438162,2,4
Cherry Beach Sports Field (55 Unwin Ave),43.640607278299,-79.3411633755459,2,4
Cherry St / Distillery Ln,43.6507646108461,-79.3568653940928,0,4
Cherry St / Mill St,43.6512802,-79.3578737,0,4
Chester Station,43.6782277,-79.3525143,2,4
Chiltern Hill Rd / Eglinton Ave W,43.7003579,-79.4280706,0,4
Chorley Park - SMART,43.686173805378,-79.3693155890375,0,4
Christie St / Benson Ave (Wychwood Barns),43.6801190362763,-79.4250428602022,0,4
Church St  / Wood St,43.6628211276403,-79.3797284380518,0,4
Church St / Alexander St,43.6638815643812,-79.3800837736963,0,4
Church St / Bloor St E,43.6713237,-79.3831361,0,4
Church St / Dundas St E - SMART,43.6566255287315,-79.3771570313676,0,4
Church St / Lombard St,43.6519823530586,-79.3751559160258,0,4
Claremont St / Dundas St W,43.6513386919789,-79.4116091602033,0,4
Clarence Square,43.6441912,-79.393683,0,4
Clendenan Ave / Rowland St - SMART,43.6604476437895,-79.4714492890385,1,4
College Park - Yonge St Entrance,43.6599268375014,-79.3825955274312,0,4
College Park South,43.6599741510493,-79.3849808295252,0,4
College Park- Gerrard Entrance,43.6589057873323,-79.3838338008719,0,4
College St / Borden St,43.6571124519816,-79.4051695313676,0,4
College St / Crawford St,43.6551685699926,-79.4190170553511,0,4
College St / Huron St,43.6584260107472,-79.3981365583543,0,4
College St / Major St,43.6576116991496,-79.4028079178742,0,4
College St / Markham St,43.6563798782945,-79.4089327025321,0,4
Colonel Danforth Park,43.7796074,-79.1766316,3,4
Concord Av / Dewson St,43.6568433709601,-79.4249363394071,0,4
Concord Ave / Bloor St W,43.6619647,-79.4268271,0,4
Cosburn Ave / Cedarvale Ave,43.697154,-79.3145238,2,4
Cosburn Ave / Donlands Ave,43.6905841,-79.3413146,2,4
Cosburn Ave / Durant Ave,43.6938983486332,-79.3299831602017,2,4
Coxwell Ave /  Lake Shore Blvd E,43.662833,-79.3152384,2,4
Coxwell Ave / Plains Rd,43.6959033,-79.3292314,2,4
Crawford St / Queen St W,43.6491517,-79.4167516,0,4
Cumberland Ave / Bay St SMART,43.670631979038,-79.3898115412673,0,4
D'Arcy St / Spadina Ave - SMART,43.6541077470146,-79.3983843467098,0,4
D'Arcy St. /McCaul St. SMART,43.6553109271941,-79.3918719432911,0,4
Dalton Rd / Bloor St W,43.6662499514982,-79.4066331736962,0,4
Danforth Ave / Aldridge Ave,43.6849029594144,-79.3171629448599,2,4
Danforth Ave / Barrington Ave,43.6883669,-79.3005153,2,4
Danforth Ave / Coxwell Ave,43.6834778,-79.3237153,2,4
Danforth Ave / Dewhurst Blvd,43.6801934,-79.3394629,2,4
Danforth Ave / Ellerbeck St,43.6769393,-79.3566149,2,4
Danforth Ave / Gough Ave,43.6788320392721,-79.3461056025312,2,4
Danforth Ave / Lamb Ave,43.6819129,-79.3293717,2,4
Danforth Ave / Westlake Ave,43.6876037517295,-79.3052146025308,2,4
Davenport Rd / Avenue Rd,43.6748211,-79.3967481,0,4
Davenport Rd / Bathurst St,43.6767734,-79.4161824,0,4
Davenport Rd / Bedford Rd,43.6745922,-79.3999473,0,4
Davenport Rd / Christie St,43.6756701,-79.423232,0,4
Davenport Rd / Lansdowne Ave,43.6713154,-79.4483532,1,4
Davenport Rd / McAlpine St - SMART,43.6740631902548,-79.3915103736958,0,4
Davenport Rd / Oakwood Rd - SMART,43.6745285294746,-79.4337405736959,1,4
Davisville Ave / Pailton Cres,43.6993444,-79.3919052,0,4
Dawes Rd / Taylor Creek Trl,43.6972635381852,-79.2973899890371,2,4
Dentonia Park,43.6936295,-79.2933125,2,4
Donlands Station,43.6808549,-79.3377699,2,4
Dovercourt Rd / Harrison St (Green P) - SMART,43.6503689933218,-79.4250447469708,0,4
Dufferin Gate - SMART,43.6337739042721,-79.425318880765,0,4
Dufferin St / Bloor St,43.6601875,-79.4353303,1,4
Dufferin St / Finch Hydro Recreational Trail,43.7722468634226,-79.467624673692,1,4
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6548753948128,-79.4333425553514,1,4
Dundas St E / Boulton Ave - SMART,43.6633067526901,-79.3481953448608,2,4
Dundas St E / Broadview Ave,43.6622581,-79.3512492,2,4
Dundas St E / George St,43.6574326027245,-79.3734940890386,0,4
Dundas St E / Parliament St,43.659227,-79.3658214,0,4
Dundas St E / Pembroke St - SMART,43.6583432969745,-79.3724126313675,0,4
Dundas St E / Regent Park Blvd,43.6601302,-79.3616424,0,4
Dundas St E / Victoria St,43.6564895892273,-79.3795952602032,0,4
Dundas St W / Crawford St,43.6502169319699,-79.4170325736968,0,4
Dundas St W / Edna Ave,43.6574369754248,-79.4527035313676,1,4
Dundas St W / Roncesvalles Green P - SMART,43.6537595013049,-79.4517171755191,1,4
Dundas St W / St Helen Ave - SMART,43.6503292925566,-79.4409557203492,1,4
Dundas St W / St. Patrick St,43.6546590079284,-79.3902829160256,0,4
Dundas St W / Watkinson Ave,43.6650294652797,-79.4602781935564,1,4
Dundas St W / Yonge St,43.6558423,-79.3839045,0,4
Dundonald St / Church St,43.6665946,-79.3814682,0,4
Dupont St / Emerson Ave SMART,43.6673893875706,-79.4441430448606,1,4
Durie St / Dundas St W,43.6657862748429,-79.4849070467093,1,4
E.T. Seton Park (Eglinton Ave E / Leslie St),43.716743677693,-79.3490130025297,2,4
East Lynn Ave / Danforth Ave,43.68505,-79.3153536,2,4
Eastern Ave / Winnifred Ave,43.659400455701,-79.335132302532,2,4
Eastwood Rd / Coxwell Ave,43.6727597,-79.3191212,2,4
Eastwood Rd / Woodbine Ave - SMART,43.676679280996,-79.3089800602023,2,4
Edward St / Yonge St,43.656837,-79.382563,0,4
Eglinton Ave E / Redpath Ave,43.7078749,-79.3924203,0,4
Eglinton Ave W / Henning Ave SMART,43.7062969,-79.4016121,0,4
Eglinton Ave W / Scarlett Rd,43.6836259,-79.5109535,1,4
Elizabeth St / Edward St (Bus Terminal),43.6562769785739,-79.3854967602032,0,4
Ellis Ave / The Queensway,43.6378709,-79.4659966,1,4
Elm St/ University Ave (East Side),43.6564639,-79.3878214,0,4
Elwood Blvd / Avenue Rd,43.7070439,-79.4096215,0,4
Emerson Ave / Bloor St W,43.6589158475522,-79.4407623890385,1,4
Erskine Ave / Yonge St SMART,43.7112736395208,-79.3992793736944,0,4
Essex St / Christie St - SMART,43.6685219453294,-79.4202947602026,0,4
Esther Shiner Stadium,43.7756962,-79.4466356,1,4
Euclid Ave / Bloor St W,43.6644871950752,-79.4148510736962,0,4
Euclid Ave / Herrick St - SMART,43.6620842012886,-79.4139426467095,0,4
Exhibition GO (Atlantic Ave),43.6376887,-79.420201,0,4
Exhibition GO Station,43.6352125,-79.4187963,0,4
Fairmount Park,43.6759694,-79.3158648,2,4
Finch West Subway Station,43.765036,-79.4911601,1,4
Fleet St / Bathurst St,43.6368786,-79.3999844,0,4
Fleming Cres / Bayview Ave,43.7071996,-79.3756129,0,4
Florence Gell Park,43.6619288,-79.4981987,1,4
Fort York  Blvd / Capreol Ct,43.6403393094046,-79.3956797691134,0,4
Fort York Blvd / Bathurst St SMART,43.6390570608164,-79.4006772890394,0,4
Fort York Blvd / Garrison Rd,43.6375062325148,-79.4040195670101,0,4
Foster Pl / Elizabeth St,43.6545898188543,-79.3848452993399,0,4
Frederick St / King St E,43.649249,-79.3679828,0,4
Frederick St / The Esplanade,43.6485869,-79.3690619,0,4
Frobisher Ave / Lascelles Blvd,43.6967042,-79.400458,0,4
Front St / Simcoe St,43.6449559367743,-79.385039989039,0,4
Front St E / Bayview Avenue,43.6537409228599,-79.3536805025322,2,4
Front St E / Cherry St,43.6528828,-79.3580952,0,4
Front St E / Scott St,43.6476575921309,-79.375789189039,0,4
Front St W / Bay St (North Side),43.6462780888741,-79.3794840000926,0,4
Front St W / Bay St (South Side),43.6458743833108,-79.3788402699613,0,4
Front St W / Blue Jays Way,43.6434801,-79.3906534,0,4
Front St W / University Ave (1),43.6453168615321,-79.3831964582896,0,4
Front St W / University Ave (2),43.6449745752054,-79.3834048097065,0,4
Front St W / Yonge St (Hockey Hall of Fame),43.6473962775009,-79.3774679628112,0,4
Fulton Ave / Pape Ave,43.6838081,-79.3467928,2,4
G Ross Lord Park,43.7789858,-79.4610736,1,4
Gailbraith Rd / Kings College Cr. (U of T),43.6618101326865,-79.3951820890384,0,4
Gamble Ave / Broadview Ave,43.6892793,-79.3545241,2,4
Garden Ave / Roncesvalles Ave,43.6434063,-79.4478706,1,4
George St / King St E,43.6509551804968,-79.370697541787,0,4
Gerrard Square Mall (1010 Gerrard St E),43.669524,-79.3389805,2,4
Gerrard St E / Broadview - SMART,43.6656324210123,-79.3526213711645,2,4
Gerrard St E / Leslie St,43.6700054832942,-79.3330981178736,2,4
Gerrard St E / Malvern Ave - SMART,43.6852784072309,-79.2947190890375,2,4
Gerrard St E / River St,43.6634883,-79.3590277,0,4
Gerrard St E / Ted Reeve Dr,43.6847371770723,-79.2974924890375,2,4
Gerrard St E / Victoria Park Ave - SMART,43.6870742949465,-79.2866539890374,2,4
Glebe Rd W / Yonge St,43.7007679,-79.3974287,0,4
Glen Edyth Dr / Davenport Rd,43.6780397390915,-79.4053244136231,0,4
Glendonwynne Ave / Bloor St W,43.6517862279131,-79.4740113736967,1,4
Goodwood Park Ct / Dentonia Park,43.693066957472,-79.2925078753779,2,4
Gould St / Mutual St,43.6586714481525,-79.376361160203,0,4
Gould St / Yonge St (Ryerson University),43.6575315267405,-79.3813756025321,0,4
Granby St / Church St - SMART,43.6614265261999,-79.3791150602029,0,4
Guildwood GO Station (South),43.755257974421,-79.1974983732554,3,4
Hanna Ave / Liberty St,43.6382642,-79.4195443,0,4
Harbord St / Clinton St,43.660445790723,-79.4158203736964,0,4
Havelock St / Dufferin Park,43.6579059741518,-79.4312955736965,1,4
Hayter St / Laplante Ave,43.6592016468503,-79.3859770313675,0,4
High Park - Grenadier Cafe,43.6455504075175,-79.4659889448615,1,4
High Park - West Rd,43.6461366,-79.4691477,1,4
High Park Amphitheatre,43.6465345050189,-79.4620771160259,1,4
High Park Ave / Dundas St W,43.66563389211,-79.4703433025318,1,4
High Park Outdoor Pool,43.6494974,-79.4653944,1,4
High Park Subway,43.6544342,-79.4655451,1,4
High Park Subway Station,43.6544342,-79.4655451,1,4
Highfield Rd / Gerrard St E,43.6717821570118,-79.3249417602025,2,4
Hillsdale Ave W / Yonge St,43.7032744,-79.3980628,0,4
Hocken Ave./Vaughan Rd.,43.6818619791681,-79.4183876449986,0,4
Housey St / Dan Leckie Way,43.6382913982012,-79.3974778160262,0,4
Howard Park Ave / Dundas St W - SMART,43.6522760266469,-79.4481169602033,1,4
Howard St / Rose Ave,43.6715046769284,-79.3723717178736,0,4
Howard St / Sherbourne St,43.6713415522696,-79.3764570957795,0,4
HTO Park (Queens Quay W),43.6379645,-79.3874561,0,4
Hubbard Blvd / Balsam Av,43.66961336346169,-79.2888265448605,2,4
Hubbard Blvd. / Glen Manor Dr.,43.6689482081741,-79.2914282988194,2,4
Humber Bay Shores Park / Marine Parade Dr,43.6262269,-79.4766997,1,4
Humber Bay Shores Park East,43.630944,-79.472145,1,4
Humber Bay Shores Park West,43.622438,-79.4803365,1,4
Humber College,43.7285212,-79.6063069,1,4
Humberside Grounds - SMART,43.6594048938181,-79.470300860203,1,4
Huron/ Harbord St,43.6670201,-79.4018152,0,4
Isabella St / Church St,43.6683551,-79.3823222,0,4
